bbox,class_name,file_id,used
291 51 389 367,person,CAM01-2014-02-15-20140215161032-20140215162620-frame6898,False
283 57 379 358,person,CAM01-2014-02-15-20140215161032-20140215162620-frame10970,False
258 82 362 378,person,CAM01-2014-02-15-20140215161032-20140215162620-frame318,False
278 64 366 321,person,CAM01-2014-02-15-20140215162620-20140215163848-frame3117,False
241 71 325 370,person,CAM01-2014-02-15-20140215162620-20140215163848-frame6381,False
360 57 450 347,person,CAM01-2014-02-15-20140215163848-20140215165240-frame6887,False
247 51 362 350,person,CAM01-2014-02-15-20140215161032-20140215162620-frame6197,False
270 53 377 377,person,CAM01-2014-02-15-20140215162620-20140215163848-frame5783,False
297 155 421 507,person,CAM01-2014-02-15-20140215163848-20140215165240-frame530,False
349 81 459 375,person,CAM01-2014-02-15-20140215161032-20140215162620-frame9072,False
289 74 379 368,person,CAM01-2014-02-15-20140215163848-20140215165240-frame8184,False
210 157 318 416,person,CAM01-2014-02-15-20140215161032-20140215162620-frame6541,False
222 67 330 377,person,CAM01-2014-02-15-20140215163848-20140215165240-frame2528,False
294 64 378 315,person,CAM01-2014-02-15-20140215163848-20140215165240-frame1598,False
281 60 401 352,person,CAM01-2014-02-15-20140215163848-20140215165240-frame9197,False
318 129 426 389,person,CAM01-2014-02-15-20140215161032-20140215162620-frame218,False
322 67 427 364,person,CAM01-2014-02-15-20140215163848-20140215165240-frame5411,False
272 110 401 347,person,CAM01-2014-02-15-20140215161032-20140215162620-frame6324,False
364 66 474 391,person,CAM01-2014-02-15-20140215161032-20140215162620-frame8641,False
243 36 378 343,person,CAM01-2014-02-17-20140217100359-20140217101427-frame4689,False
314 57 413 365,person,CAM01-2014-02-15-20140215161032-20140215162620-frame4360,False
294 56 373 330,person,CAM01-2014-02-15-20140215162620-20140215163848-frame694,False
229 87 347 456,person,CAM01-2014-02-15-20140215162620-20140215163848-frame1371,False
342 85 446 364,person,CAM01-2014-02-15-20140215163848-20140215165240-frame5220,False
286 74 410 385,person,CAM01-2014-02-17-20140217101428-20140217102828-frame404,False
259 54 363 331,person,CAM01-2014-02-15-20140215161032-20140215162620-frame9754,False
225 37 298 328,person,CAM01-2014-02-15-20140215161032-20140215162620-frame3873,False
291 42 401 291,person,CAM01-2014-02-15-20140215162620-20140215163848-frame3155,False
238 55 322 382,person,CAM01-2014-02-15-20140215161032-20140215162620-frame1638,False
270 32 418 369,person,CAM01-2014-02-17-20140217100359-20140217101427-frame1466,False
213 62 306 358,person,CAM01-2014-02-15-20140215161032-20140215162620-frame2152,False
181 57 288 435,person,CAM01-2014-02-15-20140215163848-20140215165240-frame2219,False
247 46 368 381,person,CAM01-2014-02-15-20140215163848-20140215165240-frame6883,False
269 35 374 354,person,CAM01-2014-02-17-20140217100359-20140217101427-frame7779,False
228 53 336 341,person,CAM01-2014-02-17-20140217100359-20140217101427-frame7832,False
227 59 345 367,person,CAM01-2014-02-15-20140215161032-20140215162620-frame11465,False
283 70 413 363,person,CAM01-2014-02-15-20140215162620-20140215163848-frame7579,False
331 51 427 349,person,CAM01-2014-02-15-20140215163848-20140215165240-frame9272,False
310 66 454 377,person,CAM01-2014-02-17-20140217100359-20140217101427-frame5100,False
308 31 410 338,person,CAM01-2014-02-15-20140215162620-20140215163848-frame3713,False
140 63 252 361,person,CAM01-2014-02-17-20140217101428-20140217102828-frame3314,False
294 150 387 519,person,CAM01-2014-02-15-20140215162620-20140215163848-frame8782,False
269 105 371 373,person,CAM01-2014-02-15-20140215161032-20140215162620-frame7362,False
286 53 377 333,person,CAM01-2014-02-15-20140215161032-20140215162620-frame3766,False
